Blog	four	looking	second	here	k	music	until	example	want	feature	hot	wrong	series	re	wasn	service	needed	project	tech	release	result	best	country	asked	life	things	had	easy	possible	right	old	people	o	support	call	happy	inside	time	team	along	working	awesome	such	years	course	didn	internet	million	quite	open	city	future	say	saw	note	take	knew	drive	slow	going	where	jobs	many	wants	photos	technology	being	rest	around	traffic	world	power	favorite	image	her	gone	am	having	original	tv	th	large	small	past	hours	action	via	company	science	states	its	always	found	really	research	major	self	also	play	plan	sometimes	set	see	available	last	whole	community	recent	person	using	couple	d	continue	anything	into	link	line	posted	us	ago	age	code	results	try	video	let	great	involved	makes	tools	next	process	high	move	latest	could	put	david	system	face	fact	should	hope	stuff	edition	email	etc	co	ve	vs	off	web	government	five	become	does	software	doing	much	problem	chance	worth	above	told	word	work	interview	after	fan	office	then	them	network	another	do	away	terms	com	air	hand	photo	thanks	night	security	comments	months	way	update	together	global	cost	change	market	live	car	means	write	product	remember	still	half	now	year	happen	space	shows	care	yourself	friend	than	browser	online	price	america	only	between	comes	these	media	thinking	real	read	early	amp	business	aren	start	lot	trying	building	since	month	very	family	takes	finally	taken	site	history	help	soon	actually	android	event	issue	reason	ask	launch	american	mobile	less	pretty	during	x	won	probably	both	else	look	while	ready	used	uses	user	love	game	popular	run	works	within	doesn	youtube	go	facebook	click	following	products	win	announced	started	meet	control	links	including	him	front	completely	times	exactly	need	able	based	she	key	well	page	twitter	home	he	companies	likely	even	ever	never	tell	give	answer	third	before	personal	better	weeks	went	side	mean	content	isn	features	mind	seen	seem	don	m	points	stop	bad	decided	said	against	appeared	three	website	make	left	human	yes	yet	deal	dead	down	daily	did	box	visit	making	may	mac	man	maybe	talk	seeing	nbsp	group	interesting	morning	living	thing	think	first	long	little	anyone	were	especially	show	data	behind	black	over	get	nearly	enough	reading	across	according	those	sound	different	pay	same	running	money	audience	either	images	e	videos	general	film	important	u	once	starting	search	two	share	needs	coming	through	late	good	house	hard	idea	done	least	part	built	build	most	services	please	point	simple	simply	create	understand	fun	itself	spend	ceo	source	big	bit	google	often	back	decision	forward	single	entire	access	others	account	bunch	ll	day	red	text	national	taking	value	almost	again	ios	thought	add	happens	buy	minutes	special	under	every	school	street	would	phone	must	me	my	keep	end	writing	each	got	free	days	already	top	too	took	talking	though	earth	watch	report	public	full	news	conference	several	social	everything	head	hear	check	no	focus	cool	posts	quick	goes	water	post	today	local	information	platform	happened	name	turn	place	given	released	computer	any	ideas	sure	later	state	ways	review	outside	come	case	myself	someone	events	week	without	seems	blog	os	everyone	longer	follow	program	far	list	design	version	options	court	rather	short	might	wouldn	number	expect	friday	feel	story	kind	nothing	his	hit	b	wrote	art	recently	reasons	political	questions	customers	question	fast	called	users	helping	issues	notes	find	apple	heart	app	use	few	women	getting	something	six	instead	light	looks	our	york	g	their	which	who	why	view	stories	job	april	gets	book	know	press	because	lead	says	own	friends	apps	made	whether	percent	other
Joel on Software	2	0	1	4	0	0	3	4	18	14	0	0	1	22	1	0	2	4	0	1	0	0	0	1	1	20	6	4	3	4	2	27	0	1	4	3	2	16	7	0	3	2	1	5	1	5	2	4	3	9	1	1	3	0	0	3	1	9	1	7	8	7	7	0	0	1	5	0	7	0	4	1	0	3	0	2	2	1	1	0	2	3	3	0	3	1	0	1	0	0	1	2	5	14	1	3	0	5	0	0	4	1	8	3	1	2	1	0	1	15	1	2	2	2	8	0	4	2	8	0	0	17	0	2	0	4	27	1	8	5	5	13	0	3	0	7	2	0	11	1	5	10	1	5	0	2	4	0	5	0	5	3	1	2	0	3	40	3	7	1	0	3	0	0	2	12	0	2	0	3	7	15	3	0	19	1	2	0	0	0	0	0	0	2	0	7	12	1	3	0	2	2	1	1	3	2	2	11	0	3	0	7	5	1	0	0	2	2	1	16	0	1	0	1	3	3	1	7	0	2	2	5	0	1	8	1	7	13	6	0	4	3	8	0	0	1	1	1	0	5	0	10	0	1	0	1	14	0	0	0	2	3	1	1	1	2	6	4	6	8	1	6	1	3	1	0	2	1	3	0	9	0	9	0	2	0	0	2	0	1	0	8	0	0	1	0	0	1	2	10	2	1	0	0	3	1	0	1	2	7	3	13	2	9	2	2	4	1	5	0	6	1	2	3	1	0	1	13	0	2	1	15	2	3	4	5	3	1	0	0	6	0	15	1	0	2	1	0	0	5	0	2	0	7	3	7	1	0	3	1	1	7	0	2	0	1	7	7	11	5	7	2	7	1	0	1	0	0	6	24	2	1	1	0	0	7	1	8	11	3	1	13	0	4	0	0	0	0	0	1	0	1	4	6	10	0	2	1	3	0	3	0	5	4	2	0	2	2	4	11	0	0	5	2	1	0	3	0	2	2	0	8	7	7	3	2	3	2	0	3	0	1	1	0	3	6	10	0	0	0	0	6	2	0	0	5	7	1	3	4	0	1	18	1	1	5	1	1	6	6	3	2	4	2	6	10	3	5	0	8	1	1	2	0	1	1	3	2	1	1	2	2	9	0	2	1	4	0	1	1	0	0	2	2	7	0	0	0	0	0	0	0	1	0	0	14	6	6	1	0	1	1	0	4	2	1	1	0	1	5	0	2	1	4	0	1	1	0	5	2	10	1	1	1	3	13	1	4	1	0	4	2	8	0	1	1	1	1	16	1	0	0	0	6	2	3	8	5	0	0	0	10	1	1	3	10	6	0	6	6	3	0	1	1	5	0	0	14	20	8	6	2	0	15	1	1	1	5	0	12	0	0	2	1	0	3	1	0	8
Boing Boing	1	1	0	5	0	2	2	2	4	1	3	0	1	3	0	0	0	4	0	0	0	1	3	0	3	7	3	0	3	3	1	6	1	0	2	1	3	10	2	1	1	3	3	3	0	2	3	0	0	4	4	5	1	0	0	3	1	0	0	2	3	0	2	0	2	8	3	2	2	0	23	1	0	2	11	1	0	2	1	0	3	1	2	1	0	0	4	0	7	0	10	1	1	3	2	0	0	4	1	0	0	3	6	0	7	3	1	0	1	3	0	4	0	0	7	1	1	1	4	2	2	3	1	0	2	1	1	0	0	0	2	0	2	0	1	1	0	0	2	2	1	3	7	1	0	0	2	0	2	3	3	0	2	0	0	0	1	1	1	1	2	4	2	1	3	2	0	4	0	0	3	3	1	4	3	1	2	0	1	2	2	3	2	2	0	1	6	1	1	0	0	2	1	1	0	0	0	0	0	5	1	5	1	0	4	2	0	0	0	6	0	0	0	8	4	1	2	3	3	1	1	2	0	0	1	0	0	1	0	5	3	1	4	4	2	1	0	2	1	0	2	3	1	1	0	1	1	0	0	1	0	5	3	7	0	1	3	1	1	4	0	2	1	0	5	0	0	0	2	0	1	0	1	1	4	0	0	0	0	0	0	0	0	2	0	3	0	2	1	5	2	2	9	0	2	4	0	2	2	0	0	3	0	1	0	1	0	2	3	0	1	0	1	0	0	0	0	2	0	2	1	4	2	0	0	0	0	3	0	0	2	1	4	1	1	8	0	1	1	1	0	3	0	2	2	4	0	1	0	2	0	0	1	0	0	4	0	3	3	0	3	3	13	0	5	0	0	0	1	5	0	3	0	0	4	3	0	2	0	2	0	0	0	0	4	4	0	2	3	2	1	4	0	1	1	1	0	0	3	1	5	8	0	2	0	0	4	3	2	4	0	0	0	0	1	4	3	2	1	1	0	1	5	0	3	0	1	0	1	0	2	2	1	0	0	0	0	0	0	3	0	0	1	0	0	0	0	1	2	2	2	1	3	0	2	14	6	0	2	1	1	0	0	5	2	0	0	1	3	3	0	2	1	2	2	0	0	4	3	2	2	1	1	1	0	3	6	0	1	0	0	1	3	1	6	0	1	0	2	1	1	2	2	1	0	2	2	1	2	2	0	2	3	2	1	2	1	0	3	2	1	1	0	2	1	0	0	3	4	4	0	0	1	1	1	1	0	2	0	0	0	3	3	1	4	0	3	2	5	3	0	2	2	0	1	0	2	2	1	1	3	2	0	3	0	0	4	1	2	3	1	1	5	4	5	9	1	7	13	11	2	0	3	0	5	1	22	1	0	2	3	4	5	3	0	6	1	0	7
The Full Feed from HuffingtonPost.com	0	0	1	3	0	2	0	0	1	0	0	0	0	1	1	2	0	0	2	0	0	0	0	0	2	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	2	0	1	1	0	1	0	1	1	2	1	1	3	1	0	2	0	1	0	0	3	0	0	0	0	1	2	1	2	0	7	2	0	0	8	0	0	0	1	0	0	1	0	0	1	1	1	0	1	0	2	0	1	0	0	0	1	1	1	3	0	2	1	0	4	0	0	1	0	0	0	1	0	1	2	0	0	0	1	0	0	3	0	1	4	0	0	0	1	1	3	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	2	1	0	1	0	1	2	1	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	2	0	1	0	0	0	1	0	2	1	0	1	0	0	0	15	0	0	0	0	0	0	0	1	0	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	1	0	0	0	3	0	1	4	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	2	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	2	5	0	0	0	1	3	5	3	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	2	1	0	1	0	1	6	3	0	3	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	2	0	1	0	2	0	0	0	1	2	0	4	2	2	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	1	0	0	1	2	2	0	2	0	0	1	0	0	0	1	4	0	0	0	0	2	0	0	0	0	0	2	0	2	0	1	1	1	0	0	0	1	3	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	1	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	4	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	1	1	0	0	0	0	1	1	2	1	4	5	3	0	0	0	0	0	0	0	3	0	2	1	4	0	0	0	1	0	0	1
flagrantdisregard	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	4	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	2	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	3	1	0	5	0	5	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	4	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Pharyngula	0	0	0	1	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	1	0	1	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	3	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	2	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	2	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	3	0	0	1	0	0	0	0	2	0	0	0
Steve Pavlina's Personal Development Blog	2	0	0	2	0	0	0	1	2	0	0	2	0	10	0	0	0	0	0	0	0	1	0	1	1	2	0	0	0	0	1	2	0	0	0	0	1	2	0	1	2	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	1	1	0	3	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	1	0	0	2	1	1	0	0	0	1	1	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	4	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	3	0	1	0	0	0	0	0	0	1	0	0	0	0	6	0	0	5	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	2	2	0	0	0	0	1	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	1	2	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	2	3	0	0	0	1	0	2	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	2	0	1	0	0	0	0	0	1	2	1	0	0	0	2	2	0	0	0	0	0	0	0	1	1	0	0	0	0	1
WIL WHEATON dot NET	1	1	7	12	0	0	1	1	18	0	1	1	5	38	6	0	3	7	0	3	1	9	2	7	8	11	16	3	0	6	5	23	0	1	2	2	1	17	4	2	3	5	1	10	1	9	4	6	0	1	3	1	4	6	0	4	3	6	0	28	14	0	1	0	0	0	5	2	4	1	7	0	2	0	31	2	6	4	1	5	1	1	1	2	2	1	1	6	5	0	5	5	3	27	0	0	1	10	4	0	1	4	13	1	11	6	1	0	15	3	6	22	2	6	18	0	0	0	29	4	1	0	1	3	3	11	8	1	5	0	7	4	2	1	0	8	8	0	1	4	3	8	5	1	1	1	0	0	20	0	6	1	0	0	0	3	0	15	17	2	1	0	1	5	0	13	0	9	1	2	6	25	18	8	37	6	0	3	8	3	0	2	5	0	2	4	13	2	6	0	3	2	0	1	2	2	4	0	1	5	2	7	13	4	0	10	3	3	2	9	0	2	0	4	5	1	1	3	0	1	2	7	1	2	1	2	3	14	4	4	2	2	8	8	1	3	2	0	0	6	3	5	0	1	0	2	3	0	0	0	1	7	4	0	2	7	0	0	2	11	2	0	0	0	24	4	1	2	0	0	1	4	15	0	0	0	0	0	0	3	3	0	0	0	9	4	3	1	2	4	8	1	33	0	8	2	1	8	19	0	3	10	10	4	6	3	4	2	14	0	2	3	7	1	7	1	2	0	1	3	0	20	32	2	3	6	4	34	4	0	7	0	37	3	0	3	1	0	4	5	0	8	0	2	7	7	0	1	5	4	0	2	0	2	5	1	10	17	8	5	10	1	17	1	50	0	3	4	14	35	1	4	2	7	0	8	2	4	3	11	0	3	1	0	0	0	2	1	3	1	2	2	0	0	6	2	2	2	6	0	4	6	5	4	4	3	7	0	0	5	0	5	2	2	0	0	7	8	0	3	0	0	7	3	0	1	9	5	1	3	1	1	1	0	4	20	13	2	0	0	4	0	1	4	0	6	0	1	2	6	2	0	2	5	4	18	2	1	48	63	7	5	3	5	14	3	4	2	1	6	4	3	3	0	9	0	2	2	3	0	3	0	3	5	2	1	7	2	10	0	2	2	0	0	3	2	0	2	1	1	3	0	3	0	0	4	3	10	3	0	2	0	1	5	0	4	1	2	6	2	1	1	0	4	1	1	0	1	0	0	0	1	0	0	0	2	1	0	0	0	10	1	1	3	8	3	0	2	0	1	5	0	2	0	4	1	5	0	0	0	0	6	0	1	0	1	7	1	5	15	1	1	3	2	31	0	1	7	4	29	5	1	2	3	2	2	0	21	0	29	0	2	1	3	0	12	1	0	10
Online Marketing Report	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	2	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	2	0	0	3	7	0	0	0	0	0	0	0	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Creating Passionate Users	0	0	0	1	0	0	0	1	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	1	0	0	2	1	2	0	1	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	2	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	2	0	0	1	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	2	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	5	3	1	0	0	0	0	5	0	1	0	0	1	0	0	0	0	1	0	0	0	1	2	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1
Bloggers Blog	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	15	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	15	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	3	0	24	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0
